EpochTime,181.feed_4957.humidity,181.feed_4957.particle_concentration,181.feed_4957.particle_count,181.feed_4957.raw_particles,181.feed_4957.temperature
1435676963,96,5.3,132,52,-1.4
1435677804,98,0.8,21,28,-4.3
1435677864,93,1.9,49,11,0.1
1435677924,81,2.6,66,19,3.1
1435677984,73,4.1,102,59,5.5
1435678044,67,5.3,133,4,7.3
1435678104,63,5.1,127,20,8.6
1435678164,60,5.5,136,11,9.8
1435678224,59,5.5,137,20,10.7
1435678284,57,5.7,140,24,11.5
1435678344,56,6.8,169,30,12.1
1435678404,55,6.5,162,19,12.7
1435678464,54,6.5,161,15,13.2
1435678524,53,7.3,181,36,13.6
1435678584,52,7.3,181,16,14
1435678644,51,7.5,186,20,14.3
1435678704,51,7,175,21,14.6
1435678764,50,7.2,179,20,14.8
1435678824,50,6.8,169,16,15
1435678884,50,6.8,168,21,15.2
1435678944,50,6.3,157,14,15.4
1435679004,50,6.3,157,11,15.5
1435679064,49,6.4,159,14,15.6
1435679124,49,5.9,147,2,15.8
1435679184,49,5.9,147,25,15.8
1435679244,49,6.2,153,14,15.9
1435679304,48,6.2,154,12,16.1
1435679364,48,5.6,139,0,16.1
1435679424,48,5.3,131,18,16.2
1435679484,48,5.4,135,15,16.3
1435679544,48,5.2,130,4,16.4
1435679604,48,4.6,114,8,16.4
1435679664,48,4.4,110,10,16.4
1435679724,48,4.3,107,5,16.4
1435679784,48,4.1,102,2,16.4
1435679844,47,3.7,93,0,16.4
1435679904,47,3.3,84,0,16.4
1435679964,47,3,76,1,16.4
1435680024,47,2.7,69,3,16.4
1435680084,47,2.4,60,1,16.4
1435680144,47,2.1,53,0,16.4
1435680204,47,1.8,46,4,16.4
1435680264,47,1.8,46,6,16.5
1435680324,47,1.5,39,0,16.5
1435680384,47,1.2,31,7,16.4
1435680444,47,1.3,33,0,16.5
1435680504,47,0.9,23,0,16.5
1435680564,47,0.5,13,0,16.5
1435680624,47,0.1,4,0,16.5
1435680684,47,0.1,4,6,16.5
1435680744,47,0,1,0,16.5
1435680804,47,0,0,0,16.5
1435680864,47,0,0,0,16.4
1435680924,47,0,0,0,16.5
1435680984,47,0,0,0,16.5
1435681044,47,0,0,0,16.5
1435681104,47,0,0,0,16.5
1435681164,47,0,0,0,16.5
1435681224,47,0,0,2,16.5
1435681284,47,0,0,0,16.5
1435681344,47,0,0,2,16.4
1435681404,47,0,0,0,16.4
1435681464,47,0,0,0,16.4
1435681524,47,0,0,0,16.4
1435681584,47,0,0,0,16.4
1435681644,47,0,0,0,16.4
1435681704,47,0,0,0,16.4
1435681764,47,0,0,0,16.4
1435681824,47,0.1,3,5,16.4
1435681884,47,0.1,5,3,16.4
1435681944,47,0,0,0,16.4
1435682004,47,0,1,3,16.4
1435682064,47,0.2,8,13,16.4
1435682124,48,0.9,24,20,16.5
1435682184,48,1.6,42,9,16.5
1435682244,48,2.2,55,23,16.6
1435682304,48,3.4,85,21,16.7
1435682364,48,4,99,12,17
1435682424,48,4.3,106,10,17
1435682484,48,4.5,112,17,17.1
1435682544,48,4.5,112,10,17.2
1435682604,48,4.6,114,9,17.3
1435682664,48,4.2,106,8,17.4
1435682724,48,4.1,103,5,17.6
1435682784,48,3.8,96,0,17.6
1435682844,48,3.7,93,7,17.7
1435682904,49,3.9,98,14,17.7
1435682964,49,4.8,119,21,17.8
1435683024,49,4.6,114,8,17.9
