EpochTime,181.feed_4958.count,181.feed_4958.pm1,181.feed_4958.pm10,181.feed_4958.pm2.5
1435678845,118300,8.8,22.7,10
1435678851,121900,9,13.2,10.3
1435678857,122300,9.2,9.3,9.3
1435678863,119950,9.2,19.2,10
1435678869,124250,9,9.7,9.6
1435678875,117700,9,12.8,10.4
1435678881,122200,9,9.5,9.5
1435678887,123250,9.2,9.6,9.6
1435678893,120850,9,9.5,9.4
1435678899,119600,9,9.4,9.4
1435678905,126450,9.6,10.2,10.1
1435678911,123350,9.5,10.7,10.6
1435678917,121200,9,9.6,9.6
1435678923,121050,8.8,9.4,9.3
1435678929,124900,9.4,9.5,9.5
1435678935,123950,9.2,9.7,9.7
1435678941,123400,9.2,10.5,10.1
1435678947,123300,9.2,9.3,9.3
1435678953,118850,9,9,9
1435678960,124850,9.3,14.9,11
1435678965,123900,9.3,9.7,9.7
1435678971,121550,9.3,12.7,10.7
1435678977,118850,8.8,10.1,9.4
1435678983,120350,9.2,9.6,9.6
1435678989,116150,8.8,9.9,9.5
1435678995,118000,9,9.1,9.1
1435679001,121250,9.3,13,9.9
1435679007,121350,9.3,9.4,9.4
1435679013,123150,9.1,9.6,9.5
1435679019,121300,8.9,9.5,9.4
1435679025,119450,8.6,9,9
1435679031,122000,9.2,9.4,9.4
1435679038,117100,8.6,19.7,9.2
1435679043,121900,8.9,9.6,9.4
1435679049,123650,9.3,9.5,9.5
1435679055,122700,9.4,10.1,10
1435679061,119300,8.9,9,9
1435679067,122400,9.2,12.8,10.3
1435679073,124350,9.5,12.3,11.3
1435679079,122750,9.1,9.4,9.4
1435679085,123150,9.2,10.3,9.8
1435679091,122900,9,11.3,10.5
1435679097,119300,8.8,9.2,9.2
1435679103,120400,9.2,9.4,9.4
1435679109,120300,8.9,13.3,11.1
1435679115,120000,8.9,9,9
1435679121,125050,9.4,9.9,9.9
1435679127,121750,9,11.5,10.3
1435679133,117350,8.7,9.1,9.1
1435679139,123100,9.3,9.8,9.7
1435679145,119100,8.9,11.4,10.2
1435679151,120650,9.2,18.4,9.7
1435679157,121100,9,17.2,9.8
1435679163,115400,8.7,12.7,9.3
1435679169,119850,9,9.9,9.8
1435679175,121400,9.1,11.2,9.7
1435679181,121800,9.3,9.9,9.9
1435679187,126100,9.3,10.1,10
1435679193,118250,8.9,16.1,9.9
1435679199,118950,8.9,11.2,10.3
1435679205,122350,9.4,12.1,10.1
1435679211,121400,9.2,10.3,9.9
1435679217,118050,8.7,9.9,9.7
1435679223,120300,8.8,11.6,10.6
1435679229,117350,8.7,9.4,9.3
1435679235,123650,9.1,10.8,9.6
1435679241,118700,8.6,8.7,8.7
1435679247,119850,9.1,10.1,9.9
1435679253,126500,9.4,19.3,10.2
1435679259,114500,8.4,9.2,9
1435679265,122900,9.4,9.4,9.4
1435679271,117100,8.6,8.8,8.8
1435679277,120000,9,25.9,10.5
1435679283,120450,9.1,9.3,9.3
1435679289,118100,8.6,9.5,9.2
1435679295,120550,9.1,9.2,9.2
1435679301,120250,8.9,10.7,10.1
1435679307,116900,8.7,9.2,9.1
1435679313,116950,8.8,8.9,8.9
1435679319,115650,8.7,9.9,9.3
1435679325,119400,9,10.1,9.9
1435679331,124800,9.3,9.3,9.3
1435679337,116250,8.7,9.6,9.2
1435679343,122750,9.1,11,9.9
1435679349,122600,9.1,12.8,10.8
1435679355,121350,9.1,9.3,9.3
1435679361,118000,8.9,9.2,9.2
1435679367,116000,8.7,10.1,9.7
1435679373,124200,9.3,9.5,9.5
1435679379,119850,8.9,19.9,10.4
1435679385,115100,8.4,8.6,8.6
